Step,Title,Text,Image,Video,Graphic,ImageURL,VideURL
0,Como trocar um pneu,"Você já ficou preso na beira da estrada com um pneu furado? Quer poder trocar um pneu sem ter que pedir ajuda? Felizmente, trocar um pneu é uma tarefa muito simples, desde que você esteja preparado e disposto a fazer um pouco de esforço.",,,,,
1,"Encontre um local plano, estável e seguro para trocar o pneu.","Você deve ter uma superfície sólida e nivelada que impeça o carro de rolar. Se você estiver perto de uma estrada, estacione o mais longe possível do tráfego e ligue os piscas de emergência (luzes de emergência). Evite solos macios e colinas.",step1,,step1-AR,http://pad2.whstatic.com/images/thumb/9/9c/Change-a-Tire-Step-1-Version-8.jpg/aid2856-v4-900px-Change-a-Tire-Step-1-Version-8.jpg,
2,"Aplique o freio de estacionamento e coloque o carro na posição ""Park"".","Se você tiver uma transmissão padrão, coloque o veículo primeiro ou dê ré.",,step2-video,,,http://vid1.whstatic.com/e/e3/Change%20a%20Tire%20Step%202%20Version%207.360p.mp4
3,Bloquear outros pneus,"Coloque um objeto pesado (por exemplo, pedra, concreto, roda sobressalente, etc.) na frente dos pneus dianteiro e traseiro.",,step3-video,step3-AR,,http://vid1.whstatic.com/e/eb/Change%20a%20Tire%20Step%203%20Version%208.360p.mp4
4,Retire o pneu sobressalente e o macaco,"Coloque o macaco sob a estrutura perto do pneu que você vai trocar. Certifique-se de que o macaco está em contato com a parte metálica da estrutura do seu carro
* Muitos carros têm plástico moldado na parte inferior. Se você não colocar o macaco no lugar certo, ele quebrará o plástico quando você começar a levantar. Se você não tiver certeza sobre o lugar certo para colocar o conector, leia o manual do proprietário.
* Para a maioria dos carros uni-body modernos, há um pequeno entalhe ou marca logo atrás das cavidades das rodas dianteiras, ou na frente das cavidades das rodas traseiras onde o macaco deve ser colocado.
* Para a maioria dos caminhões ou carros mais antigos que têm um quadro, procure colocar o macaco em uma das vigas do quadro logo atrás do pneu dianteiro ou na frente do pneu traseiro.",,step4-video,,,http://vid1.whstatic.com/f/f0/Change%20a%20Tire%20Step%204%20Version%208.360p.mp4
5,Levante o macaco,Levante o macaco até que esteja apoiando (mas não levantando) o carro. O macaco deve estar firmemente encaixado na parte inferior do veículo. Certifique-se de que o conector está perpendicular ao solo.,,step5-video,,,http://vid1.whstatic.com/4/47/Change%20a%20Tire%20Step%205%20Version%208.360p.mp4
6,Remova a calota e afrouxe as porcas,"Remova a tampa da roda e afrouxe as porcas girando no sentido anti-horário. Não os tire totalmente; apenas quebre a resistência. Ao manter a roda no chão ao afrouxar as porcas pela primeira vez, você se certificará de que está girando as porcas em vez da roda.
* Use a chave que veio com seu carro ou uma chave cruzada padrão. Sua chave pode ter diferentes tamanhos de aberturas em diferentes extremidades. Uma chave de tamanho correto desliza facilmente sobre a porca, mas não faz barulho.
* Tente se preparar para quaisquer mudanças de pneus imprevistas, mantendo o tamanho exato do soquete para suas porcas de lug, bem como uma barra de quebra à mão no porta-malas.
* Pode ser necessária muita força para liberar as porcas. Se tudo mais falhar, você pode usar o peso do seu corpo ou pisar na chave inglesa (esteja absolutamente certo de que está girando da maneira correta - no sentido anti-horário). No entanto, usar seu peso corporal ou pisotear significa que você corre o risco de arrancar as porcas da roda, pois é difícil manter contato total.",,step6-video,step6-AR,,http://vid1.whstatic.com/a/a5/Change%20a%20Tire%20Step%206%20Version%208.360p.mp4
7,Bombeie ou acione o macaco para levantar o pneu do chão,"Você precisa levantá-lo alto o suficiente para remover o pneu furado e substituí-lo por um sobressalente.
* Ao levantar, certifique-se de que o carro esteja estável. Se notar alguma instabilidade, abaixe o macaco e corrija o problema antes de levantar totalmente o carro.
* Se você notar que o macaco está se levantando em um ângulo ou inclinado, abaixe-o e reposicione-o para que ele possa se levantar em linha reta.
* É sempre uma boa ideia manter um pequeno macaco à mão também no veículo, caso o macaco ceda durante a troca de pneus. Usar o jack pequeno e o jack normal irá mantê-lo seguro no caso de uma falha do macaco.",,step7-video,step7-AR,,http://vid1.whstatic.com/b/bc/Change%20a%20Tire%20Step%207%20Version%208.360p.mp4
8,Remova as porcas o resto do caminho,"Gire-os no sentido anti-horário até que estejam soltos. Repita com todas as porcas lug e, em seguida, remova as porcas completamente.
* Embora seja raro, alguns veículos possuem porcas com rosca reversa.",,step8-video,step8-AR,,http://vid1.whstatic.com/4/4f/Change%20a%20Tire%20Step%208%20Version%208.360p.mp4
9,Tira o pneu,"Coloque o pneu furado sob o veículo de forma que, no caso de falha do macaco, o veículo caia sobre a roda velha, evitando lesões. Se o conector for colocado em uma base plana e sólida, você não deverá ter problemas.
* O pneu pode prender devido à ferrugem. Você pode tentar acertar a metade interna do pneu com um martelo de borracha para soltar o pneu ou usar o pneu sobressalente para acertar a metade externa.",,step9-video,step9-AR,,http://vid1.whstatic.com/b/b6/Change%20a%20Tire%20Step%209%20Version%208.360p.mp4
10,Coloque o pneu sobressalente no cubo,"Tome cuidado para alinhar o aro do pneu sobressalente com os parafusos da roda e, em seguida, coloque as porcas de roda.
* Certifique-se de instalar o pneu sobressalente da maneira correta e não ao contrário. A haste da válvula de um pneu donut deve estar voltada para fora, longe do veículo.
* Se o seu veículo usa porcas tipo bolota, é fácil colocá-las ao contrário. Certifique-se de que a parte cônica da porca esteja voltada para a roda ao apertá-la.",,step10-video,step10-AR,,http://vid1.whstatic.com/f/f2/Change%20a%20Tire%20Step%2010%20Version%207.360p.mp4
11,Aperte as porcas com a mão até que estejam todas firmes,"Eles devem girar facilmente no início.
* Usando a chave inglesa, aperte as porcas tanto quanto possível usando um padrão de estrela. Para garantir que o pneu esteja equilibrado, não aperte completamente as porcas uma de cada vez. Seguindo um padrão de estrela ao redor do pneu, uma porca em frente à outra, dê uma volta completa em cada porca até que estejam igualmente apertadas.
* Evite usar tanta força que você corre o risco de derrubar o macaco. Você vai apertar as porcas de roda novamente quando o carro estiver abaixado e não houver risco de ele cair.",,step11-video,step11-AR,,http://vid1.whstatic.com/e/e9/Change%20a%20Tire%20Step%2011%20Version%209.360p.mp4
12,Abaixe o carro sem aplicar peso total no pneu,Aperte as porcas tanto quanto possível.,,step12-video,step12-AR,,http://vid1.whstatic.com/e/ec/Change%20a%20Tire%20Step%2012%20Version%208.360p.mp4
13,Abaixe o carro até o chão e remova o macaco,Termine de apertar as porcas e recoloque a calota.,,step13-video,step13-AR,,http://vid1.whstatic.com/5/51/Change%20a%20Tire%20Step%2013%20Version%208.360p.mp4
14,Coloque o pneu velho no porta-malas e leve ao mecânico,"Obtenha uma estimativa para o custo do reparo. Pequenos furos geralmente podem ser consertados por menos de  5 mil KZs. Se o pneu não for reparável, eles podem descartá-lo de maneira adequada e vender um substituto",step14,,,http://pad3.whstatic.com/images/thumb/b/b5/Change-a-Tire-Step-14-Version-8.jpg/aid2856-v4-900px-Change-a-Tire-Step-14-Version-8.jpg,